44万 | 9994元/平米 | 泡崖二区 | 2室1厅 | 44.03平米 | 东 西 | 精装 | 无
71.5万 | 10932元/平米 | 泡崖四区 | 2室1厅 | 65.41平米 | 南 北 | 简装 | 无
166.7万 | 16988元/平米 | 和兴家园 | 2室2厅 | 98.13平米 | 南 北 | 精装 | 有
92.5万 | 13213元/平米 | 兴达花园 | 2室1厅 | 70.01平米 | 南 北 | 简装 | 无
111万 | 13308元/平米 | 岭秀滨城悦和西园 | 2室2厅 | 83.41平米 | 南 北 | 简装 | 无
119.8万 | 13931元/平米 | 龙畔金泉五期K4区 | 2室2厅 | 86平米 | 南 北 | 精装 | 无
135万 | 14405元/平米 | 万科假日风景 | 2室2厅 | 93.72平米 | 西南 | 精装 | 有
149万 | 12815元/平米 | 龙畔金泉五期K1区 | 3室2厅 | 116.27平米 | 南 北 | 精装 | 有
149.9万 | 17803元/平米 | 加州洋房 | 4室2厅 | 84.2平米 | 南 北 | 精装 | 无
143万 | 16375元/平米 | 新华绿洲 | 3室2厅 | 87.33平米 | 南 北 | 精装 | 无
181万 | 22594元/平米 | 第五郡五号地 | 2室1厅 | 80.11平米 | 南 北 | 精装 | 无
96.5万 | 12978元/平米 | 金马圣隆 | 2室1厅 | 74.36平米 | 南 北 | 精装 | 无
305万 | 32754元/平米 | 唯美品格 | 2室2厅 | 93.12平米 | 南 北 | 精装 | 无
137万 | 15223元/平米 | 中冶蓝城E区 | 2室2厅 | 90平米 | 南 北 | 精装 | 有
160万 | 17700元/平米 | 万科假日风景 | 2室2厅 | 90.4平米 | 南 北 | 精装 | 有
79.8万 | 9720元/平米 | 玉意街 | 2室1厅 | 82.1平米 | 南 北 | 精装 | 无
85万 | 12038元/平米 | 王家桥小区 | 2室1厅 | 70.61平米 | 南 | 简装 | 无
64万 | 10976元/平米 | 泡崖二区 | 2室1厅 | 58.31平米 | 南 | 精装 | 无
169万 | 18930元/平米 | 万科假日风景 | 2室2厅 | 89.28平米 | 南 北 | 精装 | 有
140万 | 14877元/平米 | 加州洋房 | 2室1厅 | 94.11平米 | 南 北 | 毛坯 | 有
115万 | 12216元/平米 | 美域盛景 | 2室2厅 | 94.14平米 | 南 | 精装 | 有
107万 | 11975元/平米 | 今都小区 | 2室1厅 | 89.36平米 | 南 北 | 简装 | 有
106万 | 14844元/平米 | 依山云水 | 2室1厅 | 71.41平米 | 南 北 | 简装 | 无
180万 | 21006元/平米 | 运达诺维溪谷一期 | 3室2厅 | 85.69平米 | 南 北 | 毛坯 | 暂无数据
128万 | 14749元/平米 | 亲亲家园 | 2室2厅 | 86.79平米 | 南 北 | 精装 | 有
192.6万 | 17491元/平米 | 谷和温馨苑 | 3室2厅 | 110.12平米 | 南 北 | 精装 | 有
178万 | 20134元/平米 | 艾维尼小城 | 2室2厅 | 88.41平米 | 南 北 | 精装 | 有
138万 | 15264元/平米 | 万科朗润园 | 3室1厅 | 90.41平米 | 南 北 | 精装 | 有
154万 | 15688元/平米 | 泉水人家幸福里 | 2室2厅 | 98.17平米 | 南 北 | 精装 | 有
84万 | 12977元/平米 | 千山心城 | 2室2厅 | 64.73平米 | 南 北 | 精装 | 无
135万 | 15179元/平米 | 千山心城 | 2室2厅 | 88.94平米 | 南 北 | 精装 | 有
218万 | 17661元/平米 | 鹏辉新世纪 | 3室2厅 | 123.44平米 | 南 北 | 精装 | 有
112万 | 15044元/平米 | 八十中 | 2室1厅 | 74.45平米 | 南 北 | 精装 | 无
106万 | 12762元/平米 | 乐活源 | 2室1厅 | 83.06平米 | 南 北 | 毛坯 | 有
183万 | 20038元/平米 | 芙蓉人家 | 2室2厅 | 91.33平米 | 南 北 | 其他 | 无
104.8万 | 14094元/平米 | 艾维尼小城 | 2室1厅 | 74.36平米 | 南 北 | 精装 | 有
51.8万 | 9800元/平米 | 泊林和山 | 1室1厅 | 52.86平米 | 南 | 简装 | 有
69.8万 | 8901元/平米 | 泡崖五区 | 2室2厅 | 78.42平米 | 南 北 | 简装 | 无
112万 | 12505元/平米 | 金马圣隆 | 2室2厅 | 89.57平米 | 南 北 | 精装 | 无
122万 | 16083元/平米 | 盛世闲庭 | 2室1厅 | 75.86平米 | 南 北 | 毛坯 | 无
71.8万 | 10337元/平米 | 泡崖康顺园 | 2室1厅 | 69.46平米 | 南 | 精装 | 暂无数据
150万 | 18838元/平米 | 恒德橄榄季 | 2室2厅 | 79.63平米 | 南 北 | 简装 | 有
105万 | 12506元/平米 | 顺达温泉花园一期 | 2室2厅 | 83.96平米 | 南 北 | 精装 | 无
135万 | 14063元/平米 | 西山逸林 | 2室2厅 | 96平米 | 南 北 | 精装 | 有
112万 | 14823元/平米 | 万科魅力之城 | 2室1厅 | 75.56平米 | 南 | 精装 | 有
89万 | 11541元/平米 | 亲亲阳光 | 2室2厅 | 77.12平米 | 南 北 | 精装 | 无
135万 | 16424元/平米 | 盛世闲庭 | 2室1厅 | 82.2平米 | 南 北 | 精装 | 无
115万 | 12858元/平米 | 万科溪之谷 | 2室2厅 | 89.44平米 | 南 北 | 毛坯 | 有
118万 | 13169元/平米 | 万科溪之谷 | 2室1厅 | 89.61平米 | 南 北 | 简装 | 无
133万 | 14814元/平米 | 枫丹丽城 | 2室1厅 | 89.78平米 | 南 北 | 精装 | 有
124万 | 13490元/平米 | 万科溪之谷 | 3室1厅 | 91.92平米 | 南 北 | 毛坯 | 有
129万 | 15679元/平米 | 华润考拉住区 | 2室1厅 | 82.28平米 | 南 北 | 精装 | 暂无数据
97万 | 10958元/平米 | 泡崖七区 | 2室1厅 | 88.52平米 | 南 北 | 精装 | 无
119万 | 19138元/平米 | 水映西山 | 3室2厅 | 62.18平米 | 南 北 | 精装 | 无
55万 | 9549元/平米 | 兰兴巷 | 2室1厅 | 57.6平米 | 南 北 | 简装 | 无
88万 | 14853元/平米 | 逸林派 | 1室1厅 | 59.25平米 | 南 | 精装 | 有
44.8万 | 8861元/平米 | 泡崖三区 | 2室1厅 | 50.56平米 | 南 | 简装 | 无
78万 | 14499元/平米 | 久胜街 | 2室1厅 | 53.8平米 | 南 北 | 简装 | 无
98.5万 | 20650元/平米 | 水映西山 | 2室1厅 | 47.7平米 | 南 | 简装 | 有
155万 | 18097元/平米 | 鹏辉新世纪 | 2室2厅 | 85.65平米 | 南 北 | 精装 | 有
167万 | 19768元/平米 | 衡逸园一期 | 2室2厅 | 84.48平米 | 南 北 | 精装 | 有
59万 | 10767元/平米 | 泡崖一区 | 2室1厅 | 54.8平米 | 南 北 | 简装 | 无
168万 | 18169元/平米 | 鹏辉新世纪 | 2室2厅 | 92.47平米 | 南 北 | 精装 | 有
71.8万 | 11329元/平米 | 泡崖七区 | 2室1厅 | 63.38平米 | 南 北 | 简装 | 无
98万 | 13678元/平米 | 新星绿城五期 | 2室2厅 | 71.65平米 | 南 北 | 精装 | 无
86.5万 | 13067元/平米 | 水映西山 | 2室1厅 | 66.2平米 | 南 北 | 精装 | 有
490万 | 34391元/平米 | 唯美品格 | 3室2厅 | 142.48平米 | 南 北 | 精装 | 无
220万 | 18244元/平米 | 新华绿洲 | 3室2厅 | 120.59平米 | 南 北 | 精装 | 有
101万 | 13480元/平米 | 虹港新居 | 2室1厅 | 74.93平米 | 南 北 | 简装 | 无
88.6万 | 13829元/平米 | 锦泉源D2区 | 2室1厅 | 64.07平米 | 南 | 精装 | 有
238万 | 26068元/平米 | 第五郡四号地 | 3室2厅 | 91.3平米 | 南 北 | 精装 | 无
56.3万 | 10194元/平米 | 泡崖一区 | 2室1厅 | 55.23平米 | 东 南 北 | 简装 | 无
218万 | 22924元/平米 | 朗香小镇 | 2室1厅 | 95.1平米 | 南 北 | 精装 | 有
169万 | 17265元/平米 | 东北名苑 | 2室2厅 | 97.89平米 | 南 北 | 精装 | 无
63.9万 | 10488元/平米 | 千山路 | 2室1厅 | 60.93平米 | 南 | 简装 | 无
86.5万 | 9605元/平米 | 玉丽街 | 2室2厅 | 90.06平米 | 南 北 | 精装 | 无
176万 | 12961元/平米 | 名贵山庄华春园 | 2室2厅 | 135.8平米 | 南 北 | 简装 | 无
98万 | 14013元/平米 | 叠翠骏景 | 2室1厅 | 69.94平米 | 南 北 | 简装 | 无
340万 | 25758元/平米 | 第五郡四号地 | 3室2厅 | 132平米 | 南 北 | 精装 | 无
150万 | 17196元/平米 | 新华绿洲 | 3室2厅 | 87.23平米 | 南 北 | 精装 | 无
139万 | 15190元/平米 | 晶品缘林 | 2室2厅 | 91.51平米 | 东 南 北 | 精装 | 有
82万 | 11975元/平米 | 叠翠骏景 | 2室1厅 | 68.48平米 | 西南 | 简装 | 有
55万 | 11308元/平米 | 马栏北街 | 2室1厅 | 48.64平米 | 南 北 | 简装 | 无
89.8万 | 14947元/平米 | 西山阳光水岸 | 1室1厅 | 60.08平米 | 南 | 精装 | 有
41万 | 8935元/平米 | 泡崖五区 | 1室1厅 | 45.89平米 | 南 | 简装 | 无
52万 | 10357元/平米 | 乐活源 | 1室1厅 | 50.21平米 | 北 | 简装 | 有
143万 | 16912元/平米 | 润泽园 | 2室1厅 | 84.56平米 | 南 北 | 精装 | 有
138万 | 15633元/平米 | 虹港新居 | 2室2厅 | 88.28平米 | 南 北 | 精装 | 无
82.5万 | 11381元/平米 | 泡崖美林园 | 2室1厅 | 72.49平米 | 南 北 | 精装 | 无
59.6万 | 9524元/平米 | 泡崖一区 | 2室1厅 | 62.58平米 | 南 北 | 简装 | 无
86万 | 16447元/平米 | 76中学桥北 | 2室1厅 | 52.29平米 | 南 北 | 其他 | 无
93.5万 | 13781元/平米 | 新星绿城五期 | 2室1厅 | 67.85平米 | 南 北 | 精装 | 无
98万 | 11736元/平米 | 顺达温泉花园三期 | 2室2厅 | 83.51平米 | 南 北 | 精装 | 有
151万 | 17839元/平米 | 新华绿洲 | 2室2厅 | 84.65平米 | 南 北 | 精装 | 无
153万 | 16769元/平米 | 水畔香谷 | 2室2厅 | 91.24平米 | 南 北 | 精装 | 无
112.8万 | 9341元/平米 | 泡崖七区 | 3室2厅 | 120.77平米 | 南 北 | 精装 | 无
86万 | 11636元/平米 | 泡崖美林园 | 2室1厅 | 73.91平米 | 东 南 北 | 精装 | 无
139.8万 | 19172元/平米 | 远洋广场 | 2室1厅 | 72.92平米 | 南 | 精装 | 有
520万 | 25872元/平米 | 第五郡三号地 | 4室2厅 | 200.99平米 | 南 北 | 精装 | 有
135万 | 15700元/平米 | 千山心城 | 2室2厅 | 85.99平米 | 南 北 | 简装 | 无
76万 | 14265元/平米 | 和兴家园 | 1室1厅 | 53.28平米 | 南 | 精装 | 有
94.5万 | 12937元/平米 | 龙畔金泉四期 | 2室1厅 | 73.05平米 | 南 | 简装 | 无
109.8万 | 13698元/平米 | 水映西山 | 2室2厅 | 80.16平米 | 南 西 北 | 精装 | 有
96万 | 10865元/平米 | 顺达温泉花园二期 | 2室2厅 | 88.36平米 | 南 北 | 简装 | 无
88万 | 12561元/平米 | 新星绿城三期 | 3室1厅 | 70.06平米 | 东 南 北 | 简装 | 无
